Architecture,State,StateName,ConvertedUnit,OriginalUnit,R2,MAE,RMSE
small,10,PsidLift,Wb,Wb,0.9695135150104761,2.7221967684454285e-06,1.0750716683105566e-05
small,11,PsiqLift,Wb,Wb,0.9802509881556034,0.0017507956363260746,0.0037417178973555565
small,12,PsidTilt,Wb,Wb,0.9729526471346617,3.4748950383800548e-06,1.577498005644884e-05
small,13,PsiqTilt,Wb,Wb,0.9780422318726778,0.0019672675989568233,0.0038074457552284002
small,14,VoilLift,m^3/s,m^3/s,0.9772306699305773,5.13315001171577e-07,1.275539716516505e-06
small,15,VoilTilt,m^3/s,m^3/s,0.7439035773277283,9.980082541005686e-05,0.00013007772213313729
small,16,PaccLift,bar,Pa,0.9691260028630495,3570.857421875,6658.54443359375
small,17,PaccTilt,bar,Pa,0.8870849907398224,16351.87890625,24563.8046875
small,18,PSALift,bar,Pa,0.979219488799572,196660.140625,392606.78125
small,19,PSBLift,bar,Pa,0.9951974810101092,22429.072265625,76270.671875
small,20,PSATilt,bar,Pa,0.983369005843997,35014.3046875,72125.1171875
small,21,PSBTilt,bar,Pa,0.9817351642996073,234967.484375,390349.875
small,22,xDotALift,m/s,m/s,0.9874468315392733,2.1148780433577485e-05,7.966585690155625e-05
small,23,xDotBLift,m/s,m/s,0.9848592365160584,3.0228085961425677e-05,8.685795910423622e-05
small,24,xDotATilt,m/s,m/s,0.9808570723980665,4.854048165725544e-05,0.00016502069775015116
small,25,xDotBTilt,m/s,m/s,0.963949766010046,2.0629653590731323e-05,0.00010769177606562153
small,26,SpeedRPMLift,RPM,rad/s,0.84259432554245,5.295969009399414,8.079058647155762
small,27,SpeedRPMTilt,RPM,rad/s,0.8426802158355713,5.2965474128723145,8.080248832702637
small,28,PpistonLift,bar,Pa,0.9791843239217997,196220.6875,393481.125
small,29,ProdLift,bar,Pa,0.9938134024851024,22557.951171875,88997.2578125
small,30,ProdTilt,bar,Pa,0.9813403282314539,240249.4375,407129.625
small,31,PpistonTilt,bar,Pa,0.9827710874378681,33691.09765625,74200.1640625
small,32,ThetaDotLift,deg/s,rad/s,0.9685685075819492,0.015691466629505157,0.026427753269672394
small,33,ThetaLift,deg,rad,0.7234989702701569,0.05850833281874657,0.08612533658742905
small,34,ThetaDotTilt,deg/s,rad/s,0.958090178668499,0.0422600656747818,0.06545824557542801
small,35,ThetaTilt,deg,rad,0.6696531176567078,0.1425975114107132,0.21825672686100006
